filename,new_type,original_type,motif_rejet,true_cat,inclusion_dataset,excluded_types,grouped_type
img_0001110.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001111.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001119.jpg,advertisement,advertisement,n'est pas une publicit�,,False,True,advertisement
img_0001151.jpg,advertisement,advertisement,bad quality,,False,True,advertisement
img_0001165.jpg,advertisement,advertisement,bad quality,,False,True,advertisement
img_0001178.jpg,advertisement,advertisement,illisible ou difficilement exploitable,,False,True,advertisement
img_0001192.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001196.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001206.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001233.jpg,advertisement,advertisement,illisible ou difficilement exploitable,,False,True,advertisement
img_0001247.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001280.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001288.jpg,advertisement,advertisement,illisible ou difficilement exploitable,,False,True,advertisement
img_0001321.jpg,advertisement,advertisement,n'est pas une publicit�,,False,True,advertisement
img_0001332.jpg,advertisement,advertisement,bad quality,,False,True,advertisement
img_0001354.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001381.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001394.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001409.jpg,advertisement,advertisement,illisible ou difficilement exploitable,,False,True,advertisement
img_0001432.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001470.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001480.jpg,advertisement,advertisement,n'est pas une publicit�,,False,True,advertisement
img_0001481.jpg,advertisement,advertisement,bad quality,,False,True,advertisement
img_0001484.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001490.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001500.jpg,advertisement,advertisement,n'est pas une publicit�,,False,True,advertisement
img_0001520.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001523.jpg,advertisement,advertisement,bad quality,,False,True,advertisement
img_0001526.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001540.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001549.jpg,advertisement,advertisement,n'est pas une publicit�,,False,True,advertisement
img_0001575.jpg,advertisement,advertisement,illisible ou difficilement exploitable,,False,True,advertisement
img_0001595.jpg,advertisement,advertisement,,,False,True,advertisement
img_0001121.jpg,budget,budget,,,False,True,budget
img_0001138.jpg,budget,budget,,,False,True,budget
img_0001142.jpg,budget,budget,,,False,True,budget
img_0001145.jpg,budget,budget,,,False,True,budget
img_0001152.jpg,budget,budget,,,False,True,budget
img_0001161.jpg,budget,budget,,,False,True,budget
img_0001197.jpg,budget,budget,,,False,True,budget
img_0001198.jpg,budget,budget,,,False,True,budget
img_0001219.jpg,budget,budget,,,False,True,budget
img_0001265.jpg,budget,budget,,,False,True,budget
img_0001274.jpg,budget,budget,,,False,True,budget
img_0001285.jpg,budget,budget,n'appartient pas � la cat�gorie,,False,True,budget
img_0001289.jpg,budget,budget,,,False,True,budget
img_0001294.jpg,budget,budget,,,False,True,budget
img_0001307.jpg,budget,budget,,,False,True,budget
img_0001308.jpg,budget,budget,,,False,True,budget
img_0001350.jpg,budget,budget,n'appartient pas � la cat�gorie,,False,True,budget
img_0001362.jpg,budget,budget,,,False,True,budget
img_0001410.jpg,budget,budget,,,False,True,budget
img_0001417.jpg,budget,budget,illisible ou difficilement exploitable,,False,True,budget
img_0001422.jpg,budget,budget,,,False,True,budget
img_0001429.jpg,budget,budget,,,False,True,budget
img_0001468.jpg,budget,budget,,,False,True,budget
img_0001476.jpg,budget,budget,,,False,True,budget
img_0001537.jpg,budget,budget,,,False,True,budget
img_0001544.jpg,budget,budget,illisible ou difficilement exploitable,,False,True,budget
img_0001555.jpg,budget,budget,,,False,True,budget
img_0001568.jpg,budget,budget,,,False,True,budget
img_0001574.jpg,budget,budget,n'appartient pas � la cat�gorie,,False,True,budget
img_0001581.jpg,budget,budget,,,False,True,budget
img_0001592.jpg,budget,budget,,,False,True,budget
img_0001601.jpg,budget,budget,,,False,True,budget
img_0001603.jpg,budget,budget,n'appartient pas � la cat�gorie,,False,True,budget
img_0000594.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000595.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000596.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000597.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000598.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000599.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000600.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000601.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000602.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000603.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000604.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000605.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000606.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000607.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000608.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000609.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000610.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000611.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000612.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000613.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000614.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000615.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000616.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000617.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000618.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000619.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000620.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000621.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000622.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000623.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000624.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000625.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000626.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000627.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000628.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000629.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000630.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000631.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000632.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000633.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000634.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000635.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000636.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000637.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000638.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000639.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000640.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000641.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000642.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000643.jpg,carte postale,carte postale,,,False,True,carte postale
img_0000644.jpg,carte postale,carte postale,,,False,True,carte postale
